feature_name,MAE_norm,Norm_Coeff_age,Norm_Coeff_age2,Norm_Intercept,Scaler_center,Scaler_scale,mean
A2009-ctx-lh-G_and_S_frontomargin_GrayVol,0.547782236174103,-0.0207609460945438,-6.56912331594512E-06,0.978862178023392,2428,449,-0.255522533737141
A2009-ctx-lh-G_and_S_frontomargin_ThickAvg,0.587918026032925,-0.0169447699365608,4.15246699501186E-05,0.684569168430627,2.383,0.247,1.56569549714981
A2009-ctx-lh-G_and_S_frontomargin_ThickStd,0.587412980967042,-0.0640116687459851,0.000521042578538816,1.74498112258802,0.567,0.103,-0.798988969287804
A2009-ctx-lh-G_and_S_occipital_inf_GrayVol,0.571019336238374,-0.0230827852183782,0.000113841753454082,0.810680855501621,3286,850,-0.000228244992496731
A2009-ctx-lh-G_and_S_occipital_inf_ThickAvg,0.586713512406515,-0.0404709213057612,0.000336905534900428,1.10817351632333,2.405,0.243,-2.13258534853875
A2009-ctx-lh-G_and_S_occipital_inf_ThickStd,0.591848105512924,-0.0249209013702974,0.00035935661338345,0.336340761495665,0.633,0.117,-2.68770504924153
A2009-ctx-lh-G_and_S_paracentral_GrayVol,0.606232906159698,-0.0362100256747583,0.000270072498742613,1.00367319753112,2834,486,0.236052276387537
A2009-ctx-lh-G_and_S_paracentral_ThickAvg,0.584124403021459,-0.0157549632414916,6.59073153052893E-05,0.561865909985038,2.216,0.214,-1.52871512105518
A2009-ctx-lh-G_and_S_paracentral_ThickStd,0.592145599993006,-0.0286547555613703,0.0003054563659364,0.627920749082708,0.587,0.092,-1.61124951355731
A2009-ctx-lh-G_and_S_subcentral_GrayVol,0.579431154774643,-0.056915995338714,0.000339612632292632,1.85450526911598,3243,648,-0.897296009732299
A2009-ctx-lh-G_and_S_subcentral_ThickAvg,0.543599964293409,-0.0559473680788581,0.000351166349762711,1.79814775503665,2.595,0.253,0.645172544205113
A2009-ctx-lh-G_and_S_subcentral_ThickStd,0.602855936341417,-0.0658652054429585,0.000715749617275677,1.39463280346681,0.527,0.08,-1.26535878359857
A2009-ctx-lh-G_and_S_transv_frontopol_GrayVol,0.562518449678082,-0.0405756808404238,0.000237843238500978,1.31103378865523,1885,408,0.722129909508314
A2009-ctx-lh-G_and_S_transv_frontopol_ThickAvg,0.574833228926488,-0.0605333569513207,0.000465609814405295,1.72958069687759,2.599,0.28,0.964949967790397
A2009-ctx-lh-G_and_S_transv_frontopol_ThickStd,0.563907353630289,-0.0890295483410069,0.000888056888174056,2.04414636565617,0.57,0.113,0.982210935242028
A2009-ctx-lh-G_and_S_cingul-Ant_GrayVol,0.574551520569959,-0.0333854393264823,0.000141611479795631,1.22940349180638,4787,843,0.152714220191521
A2009-ctx-lh-G_and_S_cingul-Ant_ThickAvg,0.54967422873173,-0.0710642722358809,0.000506072697278781,2.04457503185626,2.623,0.193,0.855561343422098
A2009-ctx-lh-G_and_S_cingul-Ant_ThickStd,0.584888110450234,-0.089225664053267,0.00094273523214718,1.96360309910179,0.545,0.087,0.127523338557917
A2009-ctx-lh-G_and_S_cingul-Mid-Ant_GrayVol,0.579566013129829,-0.0529942354686619,0.000363946055072064,1.63511999431166,2409,566,-0.630663660784896
A2009-ctx-lh-G_and_S_cingul-Mid-Ant_ThickAvg,0.525061110559586,-0.0575619765655524,0.0003672179136804,1.77563001160258,2.554,0.237,-0.853744164157097
A2009-ctx-lh-G_and_S_cingul-Mid-Ant_ThickStd,0.595623564655307,-0.0665218667166543,0.00070834977410056,1.45589389481113,0.499,0.1,-0.77635777359162
