feature_name,Scaler_center,Scaler_scale,Q1_Coef_age,Q1_Coef_age2,Q1_Intercept,Q5_Coef_age,Q5_Coef_age2,Q5_Intercept,Q25_Coef_age,Q25_Coef_age2,Q25_Intercept,Q50_Coef_age,Q50_Coef_age2,Q50_Intercept,Q75_Coef_age,Q75_Coef_age2,Q75_Intercept,Q95_Coef_age,Q95_Coef_age2,Q95_Intercept,Q99_Coef_age,Q99_Coef_age2,Q99_Intercept,MAE_norm,quantile
A2009-ctx-lh-G_and_S_frontomargin_GrayVol,2428.0,449.0,0.036834292507574924,-0.0005552142060490468,-1.9917497075295985,0.005517982008738458,-0.00025202741045076104,-0.7325108197005262,-0.02584287463072348,9.774018943706872e-05,0.49103349716075456,-0.01769788843314532,-3.349030129149773e-05,0.8961069878492635,-0.02003979118494043,-2.1987998808390686e-05,1.42024128636886,-0.0398306112505029,0.0001166004486151028,2.712078685165013,-0.047629353699563656,0.00022973202282666866,3.248350531897245,0.5476712273505248,75.0
A2009-ctx-lh-G_and_S_frontomargin_ThickAvg,2.383,0.2469999999999999,0.008652617920489068,-0.00015535088738649763,-1.625902652162597,0.008773508354256193,-0.00015411335602721546,-1.1936765602096493,-0.020164417110711638,0.00010432185061014099,0.21519570202605842,-0.032375965906782746,0.00019827268708991897,1.021600184337103,-0.05055993500096459,0.0004037084329055136,1.8920730784272852,-0.06303915192300548,0.00046858284025247035,3.068520574378883,-0.05385883926521749,0.000338894771905923,3.578159301535487,0.587032507516137,25.0
A2009-ctx-lh-G_and_S_frontomargin_ThickStd,0.567,0.10299999999999998,-0.02758790846859319,0.00016158719108266565,-0.572501196058614,-0.0444351104591253,0.0003250641653443525,0.2643106015962519,-0.06480851489862592,0.0005441549537823002,1.2756404674897794,-0.0709325990538298,0.0006219600976696503,1.8199280094623975,-0.08621240779568923,0.0007635607736734849,2.7141500348886125,-0.12195880786043739,0.001179937128196309,4.27866651803303,-0.10663209727980717,0.0009710618453767534,4.891819949245651,0.5866573569025287,75.0
A2009-ctx-lh-G_and_S_occipital_inf_GrayVol,3286.0,850.0,0.0009107011557132785,-4.605655294760072e-05,-1.2228997130745496,-0.008237298814365066,4.885395363254237e-06,-0.6165723358591394,-0.0053852820963995905,-4.381906491131181e-05,-0.10962438373048981,-0.015169005593266413,3.200805312373973e-05,0.6318598409860401,-0.021875344151061283,6.565887446573409e-05,1.3914341312906495,-0.012585076020750522,-5.439925287772067e-05,1.9828094008966175,-0.020562429910094864,-2.73930636290526e-06,2.8558088612647547,0.570899386178582,50.0
A2009-ctx-lh-G_and_S_occipital_inf_ThickAvg,2.405,0.24299999999999988,0.03557917197393061,-0.0005180729242602174,-2.112615526035858,-0.017872970620771304,7.058485010969426e-05,-0.5143959268054052,-0.03486728598211481,0.00025670785572331204,0.5230535203330556,-0.04232055679118775,0.00033867760697159127,1.1721681759120306,-0.056610088318027434,0.0004944609764371084,1.9537403878164727,-0.08428734292809498,0.0007742460300314022,3.3626248630388815,-0.0694772904593371,0.0005991432601285656,3.520760815290055,0.5862249824484518,99.0
A2009-ctx-lh-G_and_S_occipital_inf_ThickStd,0.633,0.11699999999999999,-0.06489462781862952,0.0007301271792469731,-0.26177443090281277,-0.024416135881104015,0.0002661286558779261,-0.5664881814297066,-0.023463753773869472,0.00028651279671397056,-0.0673700397329555,-0.026863444688806217,0.0003656932652112484,0.38226646614670373,-0.02613071891480104,0.00039148637835380274,0.8233275803866275,-0.03078452779241731,0.0004922395263973133,1.6562625314602457,-0.0015476909780272918,0.00021537874692839463,1.6169171263633566,0.5915316792528823,99.0
A2009-ctx-lh-G_and_S_paracentral_GrayVol,2834.0,486.0,-0.012423715168264982,-3.123007740648075e-05,-1.0229577569090629,-0.02208753751963627,0.00012625184092948134,-0.4419993586660258,-0.027794563691674566,0.00018203453986289636,0.3481177462565764,-0.024229813459098342,0.00013941650686271704,0.7850850767020188,-0.0442843468500843,0.0003411151272877056,1.7317480929016043,-0.031795331843901,9.85655674122048e-05,2.5115386847459455,0.012971373326640546,-0.0004915853263648016,2.599736541226229,0.6054986259767519,50.0
A2009-ctx-lh-G_and_S_paracentral_ThickAvg,2.216,0.21399999999999997,-0.007640631167569783,-5.8249887061586665e-05,-1.1501138444562817,-0.02199225150417306,8.604525923391231e-05,-0.4069474446109844,-0.024642776853192848,0.00015465929734747284,0.26511428533946785,-0.03150733921240565,0.00023884298589990513,0.8973346777748439,-0.047876477723082254,0.00040217258235752777,1.7315800523541134,-0.07670383427903887,0.0007162661861113981,3.016093606913921,-0.11942623447426096,0.0011083651365403754,4.686753042846305,0.5830666852265665,95.0
A2009-ctx-lh-G_and_S_paracentral_ThickStd,0.587,0.09199999999999997,-0.0256357670221493,0.00018136869185738272,-0.7629067541700847,-0.03478265336754608,0.0003165951266591685,-0.21998719656142213,-0.021040789062481167,0.0002362471451226937,-0.04239968536528549,-0.033395621535313676,0.00038083757139301165,0.6801006979262656,-0.03759038979460833,0.0004714719463400203,1.1787133356873647,-0.045278256321548,0.0005881056802383166,2.06702895283471,-0.05045032540613121,0.0007067753045510451,2.691462691574579,0.591684288448242,95.0
A2009-ctx-lh-G_and_S_subcentral_GrayVol,3243.0,648.0,-0.054857940270403284,0.0004747061134941147,-0.04262382705179313,-0.02996780595956213,0.00018259010063759935,-0.09677936523595981,-0.042479685190461206,0.0002586809040307178,0.9165964991090824,-0.05584422939163,0.0003639450791591464,1.7251283817128618,-0.06666191624474016,0.0004502965355812183,2.527135133435876,-0.08792950250477378,0.0005442942106063337,4.099903122902919,-0.16404904530344175,0.0013407663976609135,6.606406942579717,0.5782944472770862,95.0
